<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
US1.AAPL;D;15.10.2021;0:00:00;143.7700000;144.8900000;143.5100000;144.8300000;2839195
US1.AAPL;D;18.10.2021;0:00:00;143.4450000;146.8300000;143.1900000;146.5500000;2920823
US1.AAPL;D;19.10.2021;0:00:00;147.0100000;149.1700000;146.5500000;148.7800000;3476058
US1.AAPL;D;20.10.2021;0:00:00;148.7300000;149.7500000;148.1200000;149.3500000;2685397
US1.AAPL;D;21.10.2021;0:00:00;148.7900000;149.6400000;147.8900000;149.4500000;2766097
US1.AAPL;D;22.10.2021;0:00:00;149.5800000;150.1800000;148.6400000;148.6900000;3015506
US1.AAPL;D;25.10.2021;0:00:00;148.6800000;149.3700000;147.6400000;148.6400000;1842411
US1.AAPL;D;26.10.2021;0:00:00;149.3500000;150.8300000;149.0200000;149.2500000;2832721
US1.AAPL;D;27.10.2021;0:00:00;149.3500000;149.7300000;148.4900000;148.8100000;2169683
US1.AAPL;D;28.10.2021;0:00:00;149.8200000;153.1600000;149.7700000;152.5500000;4056674
US1.AAPL;D;29.10.2021;0:00:00;147.2150000;149.9350000;146.4200000;149.7600000;5742917
US1.AAPL;D;01.11.2021;0:00:00;148.9850000;149.6900000;147.8100000;148.9700000;2850237
US1.AAPL;D;02.11.2021;0:00:00;148.6900000;151.5700000;148.6900000;150.0100000;3210900
US1.AAPL;D;03.11.2021;0:00:00;150.3900000;151.9700000;149.8200000;151.4900000;2389887
US1.AAPL;D;04.11.2021;0:00:00;151.6300000;152.4200000;150.6500000;150.9600000;2716891
US1.AAPL;D;05.11.2021;0:00:00;151.8600000;152.1900000;150.0600000;151.2600000;2758013
US1.AAPL;D;08.11.2021;0:00:00;151.4100000;151.5200000;150.1700000;150.4600000;2245221
US1.AAPL;D;09.11.2021;0:00:00;150.2500000;151.4200000;150.0800000;150.8500000;3211208
US1.AAPL;D;10.11.2021;0:00:00;150.0200000;150.1300000;147.8500000;147.9200000;3861778
US1.AAPL;D;11.11.2021;0:00:00;148.9600000;149.0400000;147.7000000;147.8600000;2169658
US1.AAPL;D;12.11.2021;0:00:00;148.4300000;150.4000000;147.4800000;149.9500000;3199115
US1.AAPL;D;15.11.2021;0:00:00;150.3700000;151.8700000;149.4500000;149.9900000;2691874
US1.AAPL;D;16.11.2021;0:00:00;149.9300000;151.4800000;149.3400000;150.9900000;2396772
US1.AAPL;D;17.11.2021;0:00:00;151.0500000;155.0000000;151.0300000;153.5900000;4443251
US1.AAPL;D;18.11.2021;0:00:00;153.7100000;158.6700000;153.0700000;157.9000000;6907891
US1.AAPL;D;19.11.2021;0:00:00;157.5700000;161.0150000;156.5400000;160.5800000;5983527
US1.AAPL;D;22.11.2021;0:00:00;161.6800000;165.7000000;161.0000000;161.0900000;7283007
US1.AAPL;D;23.11.2021;0:00:00;161.1700000;161.7900000;159.0700000;161.4100000;5466499
US1.AAPL;D;24.11.2021;0:00:00;160.7500000;162.1400000;159.6400000;161.9400000;3338622
US1.AAPL;D;26.11.2021;0:00:00;159.6150000;160.4300000;156.3700000;156.9800000;4691168
US1.AAPL;D;29.11.2021;0:00:00;159.3700000;161.1800000;158.8200000;160.2500000;4545647
US1.AAPL;D;30.11.2021;0:00:00;159.9850000;165.5200000;159.9300000;165.4400000;9459920
US1.AAPL;D;01.12.2021;0:00:00;167.4800000;170.2900000;164.5500000;164.6500000;8639834
US1.AAPL;D;02.12.2021;0:00:00;158.7350000;164.1900000;157.8000000;163.8200000;7214476
US1.AAPL;D;03.12.2021;0:00:00;164.0000000;164.9500000;159.7200000;161.8900000;8335727
US1.AAPL;D;06.12.2021;0:00:00;164.2900000;167.8600000;164.2800000;165.2900000;6182044
US1.AAPL;D;07.12.2021;0:00:00;169.0800000;171.5800000;168.3800000;171.2100000;5964017
US1.AAPL;D;08.12.2021;0:00:00;172.1250000;175.9400000;170.7300000;175.0700000;5860803
US1.AAPL;D;09.12.2021;0:00:00;174.8400000;176.7400000;173.9400000;174.6200000;5343566
US1.AAPL;D;10.12.2021;0:00:00;175.2050000;179.6300000;174.6900000;179.4800000;6571124
US1.AAPL;D;13.12.2021;0:00:00;181.1150000;182.0900000;175.5400000;175.9200000;8077030
US1.AAPL;D;14.12.2021;0:00:00;175.2500000;177.7100000;172.2100000;174.3400000;7087589
US1.AAPL;D;15.12.2021;0:00:00;175.1100000;179.4900000;172.3200000;179.1800000;6430319
US1.AAPL;D;16.12.2021;0:00:00;179.2800000;181.1200000;170.7500000;172.3200000;9137100
US1.AAPL;D;17.12.2021;0:00:00;169.9300000;173.4650000;169.6900000;170.9600000;7041537
US1.AAPL;D;20.12.2021;0:00:00;168.2800000;170.5700000;167.4700000;169.9100000;4341662
US1.AAPL;D;21.12.2021;0:00:00;171.5550000;173.2000000;169.1300000;173.0100000;4315332
US1.AAPL;D;22.12.2021;0:00:00;173.0400000;175.8600000;172.1700000;175.6300000;4452426
US1.AAPL;D;23.12.2021;0:00:00;176.0000000;176.8400000;175.2900000;176.1700000;3071871
US1.AAPL;D;27.12.2021;0:00:00;177.0850000;180.4000000;177.0700000;180.3000000;3345466
US1.AAPL;D;28.12.2021;0:00:00;180.2500000;181.3150000;178.5400000;179.4800000;3429956
US1.AAPL;D;29.12.2021;0:00:00;179.3300000;180.6200000;178.1500000;179.3700000;2636814
US1.AAPL;D;30.12.2021;0:00:00;179.5800000;180.5600000;178.0950000;178.1900000;3085942
US1.AAPL;D;31.12.2021;0:00:00;177.9500000;179.2000000;177.2700000;177.5900000;2927579
US1.AAPL;D;03.01.2022;0:00:00;177.8500000;182.8800000;177.7200000;182.0000000;4023355
US1.AAPL;D;04.01.2022;0:00:00;182.6150000;182.9400000;179.1200000;179.7000000;4173172
US1.AAPL;D;05.01.2022;0:00:00;179.6100000;180.1500000;174.6600000;174.8900000;4203425
US1.AAPL;D;06.01.2022;0:00:00;172.6300000;175.2900000;171.6500000;172.0400000;4364282
US1.AAPL;D;07.01.2022;0:00:00;172.8900000;174.1200000;171.0400000;172.1900000;3772127
US1.AAPL;D;10.01.2022;0:00:00;169.0800000;172.5000000;168.1700000;172.1900000;4836687
US1.AAPL;D;11.01.2022;0:00:00;172.3700000;175.1700000;170.8300000;175.0800000;3623152
US1.AAPL;D;12.01.2022;0:00:00;176.0800000;177.1700000;174.8500000;175.5700000;3691031
US1.AAPL;D;13.01.2022;0:00:00;175.7800000;176.6200000;171.8000000;172.2700000;4357450
US1.AAPL;D;14.01.2022;0:00:00;171.4100000;173.7700000;171.1100000;173.0600000;3938794
US1.AAPL;D;18.01.2022;0:00:00;171.4600000;172.5400000;169.4200000;169.8400000;3757532
US1.AAPL;D;19.01.2022;0:00:00;170.0100000;171.0800000;165.9400000;166.2000000;4484178
US1.AAPL;D;20.01.2022;0:00:00;166.9800000;169.6300000;164.1800000;164.5300000;4409998
US1.AAPL;D;21.01.2022;0:00:00;164.4150000;166.3200000;162.3000000;162.3900000;6087667
US1.AAPL;D;24.01.2022;0:00:00;160.0200000;162.2400000;154.7100000;162.1400000;8685745
US1.AAPL;D;25.01.2022;0:00:00;158.9500000;162.7600000;157.0200000;159.9400000;4482281
US1.AAPL;D;26.01.2022;0:00:00;163.4600000;164.3700000;157.8200000;159.9000000;5421675
US1.AAPL;D;27.01.2022;0:00:00;162.4500000;163.8400000;158.2850000;159.1300000;5202190
US1.AAPL;D;28.01.2022;0:00:00;165.7100000;170.3500000;162.8050000;170.3400000;8872199
US1.AAPL;D;31.01.2022;0:00:00;170.1500000;174.9900000;169.5400000;174.9600000;4826459
US1.AAPL;D;01.02.2022;0:00:00;173.9800000;174.8200000;172.3200000;174.5600000;3413363
US1.AAPL;D;02.02.2022;0:00:00;174.7300000;175.8800000;173.3400000;175.7500000;3417468
