<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
ADR.ROSL;D;01/03/21;000000;8.8300000;8.8800000;8.7500000;8.8500000;13641
ADR.ROSL;D;02/03/21;000000;8.8300000;8.9100000;8.8300000;8.8800000;26264
ADR.ROSL;D;03/03/21;000000;8.9900000;8.9900000;8.8500000;8.9200000;2358
ADR.ROSL;D;04/03/21;000000;8.9500000;8.9500000;8.9500000;8.9500000;2695
ADR.ROSL;D;08/03/21;000000;8.6300000;8.9400000;8.6300000;8.9400000;5478
ADR.ROSL;D;09/03/21;000000;8.8500000;8.8600000;8.7600000;8.7800000;5153
ADR.ROSL;D;10/03/21;000000;8.6100000;8.6500000;8.6100000;8.6500000;841
ADR.ROSL;D;11/03/21;000000;8.6600000;8.6600000;8.6500000;8.6600000;895
ADR.ROSL;D;12/03/21;000000;8.7500000;8.8300000;8.7400000;8.8300000;331
ADR.ROSL;D;15/03/21;000000;8.9400000;9.0200000;8.9200000;8.9800000;3495
ADR.ROSL;D;16/03/21;000000;9.0300000;9.0900000;9.0000000;9.0800000;19570
ADR.ROSL;D;17/03/21;000000;9.0700000;9.0800000;8.8200000;8.9000000;8690
ADR.ROSL;D;18/03/21;000000;8.8600000;8.8600000;8.7600000;8.7700000;5136
ADR.ROSL;D;19/03/21;000000;8.6800000;8.7100000;8.5800000;8.6000000;11046
ADR.ROSL;D;22/03/21;000000;8.5300000;8.6200000;8.5300000;8.6200000;2142
ADR.ROSL;D;23/03/21;000000;8.3400000;8.3500000;8.3400000;8.3400000;1068
ADR.ROSL;D;25/03/21;000000;8.4200000;8.4200000;8.4200000;8.4200000;1
ADR.ROSL;D;26/03/21;000000;8.5000000;8.6400000;8.5000000;8.6400000;900
ADR.ROSL;D;29/03/21;000000;8.4500000;8.4500000;8.4000000;8.4400000;619
ADR.ROSL;D;30/03/21;000000;8.4800000;8.4800000;8.3900000;8.4200000;1336
ADR.ROSL;D;31/03/21;000000;8.4200000;8.5000000;8.4200000;8.4500000;27281
ADR.ROSL;D;01/04/21;000000;8.5000000;8.5700000;8.3900000;8.3900000;11813
ADR.ROSL;D;06/04/21;000000;8.3200000;8.3200000;8.3100000;8.3200000;92
ADR.ROSL;D;07/04/21;000000;8.1800000;8.2500000;8.1500000;8.2500000;1600
ADR.ROSL;D;08/04/21;000000;8.2700000;8.3000000;8.2200000;8.3000000;22244
ADR.ROSL;D;09/04/21;000000;8.2700000;8.2700000;8.2300000;8.2300000;2988
ADR.ROSL;D;12/04/21;000000;8.2200000;8.3400000;8.2000000;8.3000000;4443
ADR.ROSL;D;13/04/21;000000;8.3100000;8.3300000;8.2900000;8.2900000;142
ADR.ROSL;D;14/04/21;000000;8.5200000;8.5500000;8.4900000;8.5000000;22563
ADR.ROSL;D;15/04/21;000000;8.4200000;8.4400000;8.4200000;8.4200000;1706
ADR.ROSL;D;16/04/21;000000;8.4900000;8.5100000;8.4300000;8.4600000;2066
ADR.ROSL;D;19/04/21;000000;8.4900000;8.5300000;8.3500000;8.3500000;39220
ADR.ROSL;D;20/04/21;000000;8.4300000;8.4300000;8.3800000;8.3900000;2384
ADR.ROSL;D;21/04/21;000000;8.1700000;8.2500000;8.1600000;8.2400000;21093
ADR.ROSL;D;22/04/21;000000;8.2500000;8.3400000;8.2500000;8.3400000;5327
ADR.ROSL;D;23/04/21;000000;8.4000000;8.4200000;8.3600000;8.3600000;40766
ADR.ROSL;D;26/04/21;000000;8.4000000;8.8300000;8.3700000;8.8300000;13195
ADR.ROSL;D;27/04/21;000000;8.3400000;8.3400000;8.2900000;8.2900000;101
ADR.ROSL;D;28/04/21;000000;8.3500000;8.3600000;8.3500000;8.3600000;1001
ADR.ROSL;D;29/04/21;000000;8.4000000;8.4400000;8.3000000;8.3200000;2044
ADR.ROSL;D;30/04/21;000000;8.2900000;8.2900000;8.2300000;8.2500000;3855
ADR.ROSL;D;04/05/21;000000;8.2200000;8.3800000;8.2200000;8.3400000;22084
ADR.ROSL;D;05/05/21;000000;8.3700000;8.4300000;8.3100000;8.3100000;15705
ADR.ROSL;D;06/05/21;000000;8.3300000;8.3300000;8.3100000;8.3200000;1376
ADR.ROSL;D;07/05/21;000000;8.3700000;8.4900000;8.3600000;8.4900000;5403
ADR.ROSL;D;10/05/21;000000;8.4700000;8.4700000;8.4600000;8.4700000;269
ADR.ROSL;D;12/05/21;000000;8.2800000;8.2900000;8.1600000;8.1600000;398
ADR.ROSL;D;13/05/21;000000;8.1700000;8.1700000;8.1700000;8.1700000;29
ADR.ROSL;D;17/05/21;000000;8.2600000;8.2600000;8.2400000;8.2400000;654
ADR.ROSL;D;19/05/21;000000;8.5300000;8.5300000;8.5300000;8.5300000;1
ADR.ROSL;D;20/05/21;000000;8.3800000;8.3800000;8.3500000;8.3700000;8695
ADR.ROSL;D;21/05/21;000000;8.3600000;8.3600000;8.3600000;8.3600000;14
ADR.ROSL;D;24/05/21;000000;8.3400000;8.3500000;8.3400000;8.3400000;246
ADR.ROSL;D;25/05/21;000000;8.3600000;8.3600000;8.3600000;8.3600000;328
ADR.ROSL;D;26/05/21;000000;8.3700000;8.3700000;8.2800000;8.3600000;1497
ADR.ROSL;D;27/05/21;000000;8.3200000;8.3500000;8.3000000;8.3200000;18151
ADR.ROSL;D;28/05/21;000000;8.3500000;8.4000000;8.3500000;8.4000000;11005
ADR.ROSL;D;01/06/21;000000;8.3900000;8.3900000;8.3000000;8.3000000;5276
ADR.ROSL;D;02/06/21;000000;8.3900000;8.3900000;8.3400000;8.3900000;1696
ADR.ROSL;D;03/06/21;000000;8.4000000;8.4300000;8.4000000;8.4300000;176
ADR.ROSL;D;04/06/21;000000;8.5000000;8.5300000;8.4400000;8.4400000;15569
ADR.ROSL;D;07/06/21;000000;8.4600000;8.5000000;8.4400000;8.4600000;4276
ADR.ROSL;D;08/06/21;000000;8.4600000;8.4600000;8.4600000;8.4600000;1
ADR.ROSL;D;09/06/21;000000;8.4600000;8.4600000;8.4600000;8.4600000;1
ADR.ROSL;D;10/06/21;000000;8.4800000;8.5200000;8.4800000;8.5100000;451
ADR.ROSL;D;11/06/21;000000;8.5000000;8.5000000;8.5000000;8.5000000;159
ADR.ROSL;D;14/06/21;000000;8.5100000;8.5500000;8.5000000;8.5200000;2198
ADR.ROSL;D;15/06/21;000000;8.5200000;8.5200000;8.5200000;8.5200000;1
ADR.ROSL;D;16/06/21;000000;8.5200000;8.5200000;8.5200000;8.5200000;1
ADR.ROSL;D;17/06/21;000000;8.4300000;8.4700000;8.4100000;8.4700000;274
ADR.ROSL;D;18/06/21;000000;8.4300000;8.4500000;8.2800000;8.2800000;4277
ADR.ROSL;D;21/06/21;000000;8.2500000;8.3000000;8.2400000;8.3000000;1712
ADR.ROSL;D;22/06/21;000000;8.3400000;8.4100000;8.3100000;8.3800000;18443
ADR.ROSL;D;23/06/21;000000;8.3800000;8.3800000;8.3800000;8.3800000;1
ADR.ROSL;D;24/06/21;000000;8.4100000;8.4500000;8.3800000;8.4200000;2448
ADR.ROSL;D;25/06/21;000000;8.4400000;8.4600000;8.4400000;8.4600000;1476
ADR.ROSL;D;28/06/21;000000;8.4600000;8.4600000;8.4600000;8.4600000;1
ADR.ROSL;D;29/06/21;000000;8.3300000;8.3800000;8.2200000;8.2200000;8736
ADR.ROSL;D;30/06/21;000000;8.1500000;8.3200000;8.1500000;8.2800000;2465
ADR.ROSL;D;01/07/21;000000;8.3200000;8.3200000;8.2800000;8.2800000;16
ADR.ROSL;D;02/07/21;000000;8.3900000;8.4000000;8.3900000;8.4000000;1305
ADR.ROSL;D;05/07/21;000000;8.4100000;8.4100000;8.4100000;8.4100000;938
ADR.ROSL;D;06/07/21;000000;8.4100000;8.4100000;8.4000000;8.4000000;1318
ADR.ROSL;D;07/07/21;000000;8.2200000;8.2400000;8.1500000;8.1500000;487
ADR.ROSL;D;08/07/21;000000;8.0800000;8.0800000;7.9900000;7.9900000;1669
ADR.ROSL;D;09/07/21;000000;7.7800000;7.9500000;7.7800000;7.9400000;11664
ADR.ROSL;D;12/07/21;000000;7.8800000;7.8800000;7.8700000;7.8800000;435
ADR.ROSL;D;13/07/21;000000;7.8800000;7.8800000;7.8800000;7.8800000;1
ADR.ROSL;D;14/07/21;000000;7.8900000;7.8900000;7.8700000;7.8700000;709
ADR.ROSL;D;15/07/21;000000;7.8400000;7.8600000;7.7800000;7.7800000;2588
ADR.ROSL;D;16/07/21;000000;7.8300000;7.8400000;7.8300000;7.8300000;806
ADR.ROSL;D;19/07/21;000000;7.5300000;7.5500000;7.5200000;7.5200000;1310
ADR.ROSL;D;20/07/21;000000;7.4700000;7.4700000;7.4700000;7.4700000;1
ADR.ROSL;D;21/07/21;000000;7.5000000;7.5000000;7.4700000;7.4700000;523
ADR.ROSL;D;23/07/21;000000;7.5600000;7.5600000;7.5600000;7.5600000;403
ADR.ROSL;D;26/07/21;000000;7.5600000;7.5600000;7.5600000;7.5600000;1
ADR.ROSL;D;28/07/21;000000;7.6900000;7.7100000;7.6400000;7.6400000;18412
ADR.ROSL;D;29/07/21;000000;7.7300000;7.7300000;7.7200000;7.7200000;948
ADR.ROSL;D;30/07/21;000000;7.7100000;7.7100000;7.7100000;7.7100000;48
ADR.ROSL;D;02/08/21;000000;7.8300000;7.8300000;7.8300000;7.8300000;1
ADR.ROSL;D;06/08/21;000000;7.8200000;7.9500000;7.8200000;7.9500000;997
ADR.ROSL;D;09/08/21;000000;7.8200000;7.9500000;7.8200000;7.9500000;7832
ADR.ROSL;D;10/08/21;000000;7.9200000;7.9200000;7.9200000;7.9200000;168
ADR.ROSL;D;11/08/21;000000;8.1900000;8.2000000;7.9900000;8.1900000;1426
ADR.ROSL;D;16/08/21;000000;7.8000000;7.8000000;7.5900000;7.6400000;17723
ADR.ROSL;D;17/08/21;000000;7.6600000;7.7200000;7.6200000;7.7200000;9624
ADR.ROSL;D;18/08/21;000000;7.7300000;7.7300000;7.6500000;7.6600000;1642
ADR.ROSL;D;19/08/21;000000;7.6400000;7.6400000;7.6400000;7.6400000;472
ADR.ROSL;D;20/08/21;000000;7.6200000;8.1000000;7.6200000;8.1000000;2064
ADR.ROSL;D;23/08/21;000000;8.0900000;8.1000000;7.5500000;7.6400000;3212
ADR.ROSL;D;24/08/21;000000;7.6200000;7.7000000;7.6200000;7.7000000;2254
ADR.ROSL;D;27/08/21;000000;7.7400000;7.7700000;7.7400000;7.7700000;2723
ADR.ROSL;D;31/08/21;000000;7.7300000;7.7500000;7.7100000;7.7100000;1521
ADR.ROSL;D;01/09/21;000000;7.7200000;7.7300000;7.7200000;7.7300000;1058
ADR.ROSL;D;02/09/21;000000;9.0000000;9.0000000;8.1300000;8.1300000;3269
ADR.ROSL;D;03/09/21;000000;8.1600000;8.1600000;8.1000000;8.1000000;4451
ADR.ROSL;D;06/09/21;000000;8.1100000;8.4700000;8.1100000;8.4700000;1291
ADR.ROSL;D;09/09/21;000000;7.6400000;7.7900000;7.6400000;7.7600000;498
ADR.ROSL;D;10/09/21;000000;7.5600000;7.5600000;7.5600000;7.5600000;264
ADR.ROSL;D;13/09/21;000000;7.5600000;7.5600000;7.5600000;7.5600000;1
ADR.ROSL;D;14/09/21;000000;7.5600000;7.5600000;7.5600000;7.5600000;1
ADR.ROSL;D;16/09/21;000000;7.6100000;7.6100000;7.6100000;7.6100000;1
ADR.ROSL;D;17/09/21;000000;7.6400000;7.6400000;7.6100000;7.6100000;1920
ADR.ROSL;D;20/09/21;000000;7.8800000;7.8800000;7.8800000;7.8800000;22
ADR.ROSL;D;21/09/21;000000;7.8800000;7.8800000;7.8800000;7.8800000;1
ADR.ROSL;D;22/09/21;000000;7.5700000;7.5700000;7.5700000;7.5700000;40
ADR.ROSL;D;23/09/21;000000;7.4900000;7.4900000;7.4500000;7.4600000;3068
ADR.ROSL;D;24/09/21;000000;7.4300000;7.5200000;7.4300000;7.5000000;3882
ADR.ROSL;D;27/09/21;000000;7.6100000;7.6300000;7.5600000;7.6300000;12164
ADR.ROSL;D;28/09/21;000000;7.6300000;7.6400000;7.6000000;7.6000000;4952
ADR.ROSL;D;29/09/21;000000;7.6300000;7.6300000;7.6000000;7.6000000;719
ADR.ROSL;D;30/09/21;000000;7.4900000;7.4900000;7.4900000;7.4900000;123
ADR.ROSL;D;01/10/21;000000;7.4600000;7.4800000;7.2900000;7.3700000;16035
ADR.ROSL;D;04/10/21;000000;7.3900000;7.4000000;7.2800000;7.2900000;14114
ADR.ROSL;D;05/10/21;000000;7.3200000;7.3300000;7.2900000;7.3000000;15696
ADR.ROSL;D;06/10/21;000000;7.3200000;7.3600000;7.3100000;7.3100000;12558
ADR.ROSL;D;08/10/21;000000;7.5400000;7.5500000;7.5400000;7.5500000;1868
ADR.ROSL;D;11/10/21;000000;7.6200000;7.6200000;7.5700000;7.5700000;12840
ADR.ROSL;D;12/10/21;000000;7.5800000;7.5800000;7.5800000;7.5800000;395
ADR.ROSL;D;13/10/21;000000;7.6400000;7.6600000;7.6300000;7.6600000;3200
ADR.ROSL;D;14/10/21;000000;7.8100000;7.8200000;7.7700000;7.7700000;17621
ADR.ROSL;D;15/10/21;000000;7.7800000;7.8300000;7.7800000;7.8300000;594
ADR.ROSL;D;18/10/21;000000;7.8200000;7.8700000;7.8000000;7.8700000;2143
ADR.ROSL;D;19/10/21;000000;7.8700000;7.8800000;7.8600000;7.8600000;2037
ADR.ROSL;D;20/10/21;000000;8.0800000;8.1700000;8.0800000;8.1000000;3343
ADR.ROSL;D;21/10/21;000000;8.0800000;8.1100000;8.0100000;8.0100000;2262
ADR.ROSL;D;22/10/21;000000;8.0400000;8.1600000;8.0100000;8.1000000;3098
